0,1,2,3,4,5,6,7,8
Tokyo,8592.12,2.3,4160.36,4.82,1,93.3,235,170
Nagoya,3943.23,1.06,1233.21,7.67,1,82.72,81,51
Osaka,7003.88,1.88,2185.26,11.01,1,91.32,160,115
Fukuoka,1153.78,0.31,380.48,6.82,1,80.23,29,16
Niigata,1538.91,0.41,303.78,161.91,1,74.94,8,1
Toyama,1563.38,0.42,159.57,331.2,1,77.49,7,1
Nagano,1241.81,0.33,160.63,248.79,1,69.04,10,1
Kanazawa,1282.8,0.34,171.25,128.85,1,68.88,8,2
Utsunomiya,989.68,0.26,226.89,91.37,1,62.49,11,2
Maebashi,1188.35,0.32,272.17,38.41,1,63.43,19,4
Mito,644.15,0.17,179.5,70.46,1,45.1,7,1
Kofu,790.85,0.21,118.17,36.99,1,51.9,11,2
Numazu,482.25,0.13,113.46,31.87,1,90.63,7,6
Shizuoka,1171.16,0.31,124.57,13.01,1,96.94,5,3
Anjo,284.03,0.08,157.14,0.88,1,85.62,8,7
Yokkaichi,433.2,0.12,149.27,27.65,1,56.87,5,2
Himeji,881.27,0.24,177.37,26.43,1,72.18,10,2
Toyohashi,764.3,0.2,149.94,31.14,1,85.11,7,3
Hamamatsu,1455.54,0.39,229.13,21.02,1,81.09,3,1
Okayama,1096.05,0.29,210.22,85.65,1,77.67,8,1
Kurashiki,530.72,0.14,148.6,20.94,1,81.96,5,1
Fukuyama,707.01,0.19,140.19,33.3,1,74.65,4,1
Hiroshima,1193.35,0.32,212.15,11.75,1,95.39,14,11
Takamatsu,598.83,0.16,111.72,18.61,1,65.09,10,1
Wakayama,422.57,0.11,107.45,38.55,1,70.07,7,1
Tokushima,791.65,0.21,129.92,26.12,1,47.11,14,1
Kitakyushu,564.54,0.15,269.3,10.13,1,73.51,14,7
Matsuyama,796.88,0.21,126.27,53.44,1,80.19,5,1
Kochi,985.06,0.26,106.29,24.02,1,66.4,8,1
Oita,928.52,0.25,145.62,61.69,1,85.59,3,1
Kumamoto,813.83,0.22,200.56,24.15,1,72.97,14,2
Nagasaki,381.54,0.1,86.91,15.13,1,97.63,4,3
Kagoshima,762.65,0.2,148.69,12.24,1,86.19,3,1
Naha,418.89,0.11,213.55,95.67,1,68.55,21,8
Seoul Incheon,4673.13,4.7,..,6.3,2,93.03,965,882
Daegu,1113.43,1.12,..,33.97,1,94.54,155,143
Busan,724.77,0.73,..,8.93,2,95.92,218,205
Cheongju,578.93,0.58,..,95.55,1,86.06,39,28
Daejeon,995.6,1,..,33.46,1,95.6,87,74
Pohang,814.95,0.82,..,103.08,1,67.68,27,15
Jeonju,503.06,0.51,..,44.48,1,89.39,39,32
Ulsan,726.67,0.73,..,60.64,1,90.66,51,44
Changwon,166.53,0.17,..,1.65,1,100,40,38
Gwangju,696.43,0.7,..,44.69,1,94.3,98,86
Mexicali,15813.24,0.81,..,9.43,1,100,1,1
