,population,city,country,latitude,longitude
3460,117600,Ciudad de Villa de Álvarez,Mexico,19.263763,-103.74609
3461,117546,Hà Tĩnh,Vietnam,18.294378,105.674525
3462,117487,Higashiōmi,Japan,35.18462,136.162201
3463,117476,Upata,Venezuela,8.009306,-62.401554
3464,117457,Jandira,Brazil,-23.484838,-46.858222
3465,117419,Perpignan,France,42.688659,2.894833
3466,117374,Itaguaí,Brazil,-22.871229,-43.774794
3467,117352,Kamyshin,Russia,50.083333,45.4
3468,117340,Maastricht,Netherlands,50.851368,5.690973
3469,117327,Bruges,Belgium,51.209348,3.2247
3470,117320,Srikakulam,India,18.296975,83.896781
3471,117283,Malambo,Colombia,10.81671,-74.81616
3472,117262,Rotherham,United Kingdom,53.432604,-1.363501
3473,117240,Independence,USA,39.0853,-94.3513
3474,117184,Tarragona,Spain,41.118883,1.244491
3475,117167,Adilabad,India,19.67,78.53
3476,117143,Birigui,Brazil,-21.305847,-50.34032
3477,117097,Bukittinggi,Indonesia,-0.305556,100.369167
3478,117093,Izeh,Iran,31.815823,49.883807
3479,117044,Murfreesboro,USA,35.8522,-86.4161
3480,117025,Ann Arbor,USA,42.2756,-83.7313
3481,117006,Springfield,USA,39.7639,-89.6708
3482,116948,Ahuachapan,El Salvador,13.925949,-89.841138
3483,116914,Besançon,France,47.237829,6.024054
3484,116898,Orsha,Belarus,54.507148,30.411955
3485,116891,Göttingen,Germany,51.5327604,9.9352051
3486,116768,Berkeley,USA,37.8667,-122.2991
3487,116760,Manpo,Democratic People's Republic of Korea,41.157,126.29
3488,116745,Itabira,Brazil,-19.653923,-43.233422
3489,116714,Yavatmal,India,20.388794,78.120407
3490,116706,Votorantim,Brazil,-23.541178,-47.436722
3491,116664,Bandar-e-Anzali,Iran,37.475192,49.449701
3492,116631,Lorica,Colombia,9.26928,-75.82682
3493,116626,Port-Gentil,Gabon,-0.72,8.77
3494,116618,MALÉ,Maldives,4.175496,73.509347
3495,116513,Peoria,USA,40.7523,-89.6171
3496,116506,Vespasiano,Brazil,-19.691408,-43.932822
3497,116467,Termez,Uzbekistan,37.216667,67.283333
3498,116454,Barnala,India,30.381945,75.546798
3499,116393,Hōfu,Japan,34.053435,131.56897
3500,116366,Sri Jayawardanapura Kotte,Sri Lanka,6.89407,79.902478
3501,116355,Nagaon,India,26.346371,92.684043
3502,116340,Seversk,Russia,56.6,84.85
3503,116329,Narasaraopet,India,16.235351,80.047904
3504,116326,Torbalı,Turkey,38.177841,27.35334
3505,116319,Bandırma,Turkey,40.35946,27.979227
3506,116289,Rionegro,Colombia,6.25238,-75.42962
3507,116288,Provo,USA,40.2453,-111.6448
3508,116286,Pescara,Italy,42.46179,14.21609
3509,116215,Darwin,Australia,-12.462827,130.841777
3510,116200,Nyíregyháza,Hungary,47.949532,21.724405
3511,116110,Botoşani,Romania,47.748611,26.669444
3512,116064,Aïn Béïda,Algeria,35.798286,7.39249
3513,116055,Bottrop,Germany,51.5241065,6.9271641
3514,115908,Raigarh,India,21.9,83.4
3515,115878,Vehari,Pakistan,30.041944,72.352778
3516,115871,Marbella,Spain,36.510071,-4.882447
3517,115858,Sergiev Posad,Russia,56.3,38.133333
3518,115708,El Monte,USA,34.0746,-118.0291
3519,115693,Paço do Lumiar,Brazil,-2.538439,-44.08515
