0,1,2,3,4,5,6,7,8,9,10
Aguascalientes,21.881986,-102.291668,2308.08,0.12,331.71561966917966,249.82,1,84.99,4,1
Athens,37.983917,23.72936,1656.14,1.27,435.86,0.95,1,79.78,94,49
Hermosillo,29.078336,-110.95273,16926.97,0.86,2432.7321161621844,32.47,1,100.0,1,1
Shizuoka,34.97171,138.38884,1171.16,0.31,124.57,13.01,1,96.94,5,3
Saltillo,25.424175,-100.998635,5562.31,0.28,799.4112459022542,8.8,1,100.0,1,1
Seville,37.389092,-5.984459,4164.31,0.83,216.52,14.62,1,59.65,42,2
Okayama,34.666369,133.918588,1096.05,0.29,210.22,85.65,1,77.67,8,1
Mexicali,32.656793,-115.41553,15813.24,0.81,2272.667630921571,9.43,1,100.0,1,1
Detroit,42.383,-83.1022,5244.45,0.06,3142.47,533.35,1,100.0,131,131
Palermo,38.115688,13.361267,835.58,0.28,167.41,44.86,1,72.02,25,1
El Paso,31.8484,-106.427,14467.58,0.16,532.77,3.99,1,99.55,7,6
Winnipeg,49.899754,-97.137494,21715.54,0.24,3120.941998349649,4889.14,1,81.77,42,1
Hamilton,43.250021,-79.866091,2571.88,0.03,369.6287684632985,2975.75,1,85.93,6,1
Kumamoto,32.790065,130.689401,813.83,0.22,200.56,24.15,1,72.97,14,2
Cheongju,36.642434,127.489032,578.93,0.58,83.20340876186188,95.55,1,86.06,39,28
Memphis,35.1035,-89.9785,13234.05,0.14,1477.38,3179.16,1,86.41,47,7
Seattle,47.6205,-122.3509,11172.99,0.12,2014.57,109.23,1,100.0,57,57
Denver,39.7618,-104.8806,21794.38,0.24,1897.78,5.3,1,97.84,39,28
Jeonju,35.824224,127.147953,503.06,0.51,72.29942620306817,44.48,1,89.39,39,32
Washington,38.9041,-77.0171,16605.51,0.18,3124.01,1108.6,1,86.55,91,60
Boston,42.332,-71.0202,4829.9,0.05,2128.74,88.2,1,100.0,120,120
Nashville,36.1718,-86.785,9094.09,0.1,1263.65,4627.74,1,52.08,40,7
Baltimore,39.3002,-76.6105,3730.13,0.04,1175.97,1009.25,1,87.83,6,3
Zaragoza,41.648823,-0.889085,11890.63,2.37,142.71,59.61,1,82.81,210,1
Oslo,59.913869,10.752245,7099.16,2.33,460.0,325.95,1,48.09,30,1
Helsinki,60.173324,24.941025,6350.71,2.09,790.19,81.93,1,70.05,22,4
Louisville,38.1781,-85.6667,9429.64,0.1,1119.44,4354.44,1,86.06,161,85
