Himeji,881.27,26.5,1,73.4,10,2
Toyohashi,764.3,30.76,1,85.73,7,3
Hamamatsu,1455.54,20.96,1,81.23,3,1
Okayama,1096.05,83.82,1,78.89,8,1
Kurashiki,530.72,20.15,1,82.95,5,1
Fukuyama,707.01,33.58,1,75.57,4,1
Hiroshima,1193.35,11.49,1,95.41,14,11
Takamatsu,598.83,15.72,1,71.67,10,1
Wakayama,422.57,39.48,1,69.75,7,1
Tokushima,791.65,26.57,1,47.19,14,1
Kitakyushu,564.54,10.4,1,73.72,14,7
Matsuyama,796.88,53.19,1,80.66,5,1
Kochi,985.06,24.65,1,66.69,8,1
Oita,928.52,60.16,1,86.63,3,1
Kumamoto,813.83,23.47,1,72.32,14,2
Nagasaki,381.54,15.63,1,97.62,4,3
Kagoshima,762.65,12.2,1,86.31,3,1
Naha,418.89,91.12,1,68.44,21,8
Seoul Incheon,4673.13,5.34,2,88.8,965,882
Daegu,1113.43,32.38,1,94.01,155,143
Busan,724.77,9.13,2,94.08,218,205
Cheongju,578.93,83.67,1,87.96,39,28
Daejeon,995.6,29.71,1,95.33,87,74
Pohang,814.95,99.8,1,65.3,27,15
Jeonju,503.06,40.92,1,89.98,39,32
Ulsan,726.67,54.9,1,90.17,51,44
Changwon,166.53,1.76,1,100,40,38
Gwangju,696.43,39.11,1,95.61,98,86
Mexicali,15813.24,7.62,1,100,1,1
Tijuana,1252.14,1.08,1,100,1,1
Juárez,3577.67,0,1,100,1,1
Hermosillo,16926.97,26.41,1,100,1,1
Chihuahua,8861.48,2.13,1,98.43,2,1
Reynosa,4686.45,32.92,1,85.03,2,1
Monterrey,10984.38,41.65,1,78.11,20,7
Torreón,11553.57,52.53,1,89.07,6,3
Saltillo,5562.31,7.27,1,100,1,1
Culiacán,6238.98,616.65,1,100,1,1
Durango,9185.1,204.06,1,100,1,1
Tampico,2091.3,391.87,1,68.28,4,3
San Luis Potosí,5245.39,28.98,1,88.14,7,2
Aguascalientes,2308.08,203.16,1,82.49,4,1
Benito Juárez,2089.92,164.97,1,100,1,1
León,1744.18,113.15,1,89.19,2,1
Mérida,12501.47,928.85,1,69.9,52,2
Guadalajara,2478.44,109.05,1,82.24,7,4
Irapuato,843.86,203.87,1,100,1,1
Querétaro,2454.57,301.15,1,69.19,4,1
Celaya,1160.47,277.39,1,78.11,3,1
Pachuca de Soto,1594.31,213.04,1,43.02,10,1
Morelia,1935.06,188.08,1,84.47,4,1
Mexico City,5101.68,26.37,1,94.74,55,39
Xalapa,1313.03,448.98,1,62.11,11,1
Toluca,2190.89,197.12,1,72.21,15,5
Veracruz,1056.65,517.33,1,87.32,5,2
Puebla,1343.51,108.4,1,74.55,11,2
Cuernavaca,947.07,175.49,1,85.35,7,4
Centro,3209.37,575.07,1,72.74,4,1
Oaxaca de Juárez,1702.22,239.96,1,53.21,46,5
Acapulco de Juárez,1731.31,691.98,1,100,1,1
Tuxtla Gutiérrez,2167.43,1017.6,1,74.25,5,1
Amsterdam,2819.84,207.16,4,69.76,57,9
The Hague,296.87,20.59,1,79.12,11,4
Rotterdam,1480,70.68,1,58.43,36,5
Utrecht,622.67,222.73,1,44.98,14,1
Eindhoven,1199.68,827,2,44.85,19,2
Oslo,7099.16,289.63,1,48.66,30,1
Warsaw,8611.73,1022.32,1,56.62,101,12
Katowice,3920.33,337.07,1,56.16,60,8
Lódz,1693.68,421.06,1,83.53,17,2
Kraków,3749.06,723.17,1,55.23,44,1
Wroclaw,2635.24,597.36,1,74.95,19,1
Poznan,3077.07,360.17,1,57.59,26,1
Gdansk,2615.68,671.47,1,63.31,24,2
Lublin,3222.11,487.56,1,51.71,33,1
Lisbon,3988.31,63.58,2,83.71,235,157
Porto,951.54,66.33,1,81.41,150,90
Stockholm,7106.87,114.66,3,74.38,28,12
Gothenburg,3850.19,292.17,1,56.15,12,1
Malmö,3468.54,842.97,2,58.76,14,2
Ljubljana,3145.03,922.61,1,48.02,28,1
Bratislava,2600.66,444.53,1,59.27,136,17
London,6920.87,35.16,6,80.17,47,40
Birmingham (UK),1454.14,138.31,2,87.76,6,4
Leeds,1726,172.56,1,91.77,3,2
Bradford,443.63,142.37,1,95.51,3,1
Liverpool,556.66,60.74,1,79.16,4,2
Manchester,1435.01,134.97,1,89.1,10,6
Cardiff,736.87,162.72,1,54.17,5,1
Sheffield,1109.88,260.12,1,91.28,4,2
Bristol,807.31,114.18,1,53.23,4,1
Newcastle,2873.08,157.42,2,64.64,5,3
Leicester,1099.2,298.01,1,72.08,4,2
Portsmouth,428.6,88.83,2,89.54,3,2
Nottingham,1110.74,259.9,1,75.82,5,2
Glasgow,855.84,103.43,2,63.18,7,1
Edinburgh,1279.59,204.42,1,67.71,5,1
Philadelphia,4326.91,372.98,1,100,202,202
Columbus,11491.61,1616.79,1,79.64,205,42
Denver,21794.38,4.64,1,97.94,39,28
Portland,17657.21,408.76,1,76.21,58,25
Baltimore,3730.13,971.67,1,87.17,6,3
Cincinnati,10779.42,2905.16,1,92.51,216,63
Washington,16605.51,973.99,1,86,91,60
Kansas City,19095.39,4132.96,1,90.19,217,29
Saint Louis (US),13001.75,1825.18,1,65.03,250,108
Sacramento/Roseville,13749.86,54.6,1,90.68,16,10
Minneapolis,21030.86,2812.62,1,91.13,329,59
San Francisco,17089.9,23.22,2,69.76,93,62
Los Angeles,83682.18,5.09,1,100,169,169
Atlanta,9796.08,98.04,1,35.04,67,18
Phoenix,23889.14,9.23,1,100,24,24
Dallas,12067.76,196.9,1,91.48,117,82
San Diego,11028.58,10.35,1,100,18,18
Houston,22488.43,591.59,1,89.26,109,44
San Antonio,19126.6,125.64,1,91.27,43,22
Orlando,10390.36,416.9,1,72.13,22,13
Miami,14179.44,140.9,1,100,97,97
Seattle,11172.99,99.13,1,100,57,57
