Damasus rural,2529000,33.516729,36.954107
Bekasi,2510951,-6.249028,106.996952
Daegu,2508563,35.871435,128.601445
Lanzhou,2492325,36.0612545,103.8318602
Belo Horizonte,2491109,-19.928485,-43.924227
Ibadan,2470000,"7,421","3,918"
Maracaibo,2450559,10.633333,-71.633333
ASUNCION,2448710,-25.282197,-57.6351
Medellín,2417325,6.25225,-75.5735
Nagpur,2405421,21.1458,79.088155
Yangzhou,2399079,32.3926973,119.4365759
Algiers,2364230,36.752887,3.042048
Nanchang,2357838,28.6788417,115.8934012
Huizhou,2344507,23.1060862,114.4141105
Cali,2319684,3.35478,-76.55793
Valencia,2299026,10.157931,-67.99721
Guayaquil,2291158,-2.170998,-79.922359
Nyanza Conurbation,2279433,-0.66,34.72
Nantong,2273326,31.9822235,120.8914202
Bassorah,2271544,30.5,47.816667
Bamako,2269862,"12,650","-7,990"
Kumasi,2252288,"6,694","-1,586"
Paris,2243833,48.856614,2.352222
Nagoya,2239464,35.136395,136.934833
Mossoul,2220624,36.34,43.13
Xiangyang,2199689,32.0553487,112.1294081
Chittagong,2199590,22.3256945,92.1191345993
Houston,2195914,29.7805,-95.3863
Greater Brisbane,2192065,-27.471011,153.023449
Tashkent,2137218,41.266667,69.216667
BAKU,2136595,40.409262,49.867092
Vancouver,2135201,49.282729,-123.120738
Zaozhuang,2125136,34.8500093,117.559424
LA HABANA,2105291,23.159167,-82.271056
Brisbane,2099328,-27.471011,153.023449
Baotou,2070801,40.660201,109.8303243
Haikou,2046189,20.0423626,110.3409936
Yiwu,2038400,29.311254,120.0709185
Medan,2029797,3.591541,98.6693
Amman,2027000,31.956578,35.945695
Sana'a,2022867,15.369445,44.191007
Manaus,2020301,-3.107018,-60.053358
Hohhot,1980774,40.8337963,111.6730788
Jilin City,1975803,43.5999719,126.857824142
Indore,1960631,22.719569,75.857726
Putian,1953801,25.4342199,119.0074625
Luoyang,1925948,34.6556873,112.4209629
Douala,1922005,4.05,9.71
Ouagadougou,1907666,"12,362","-1,526"
Bursa,1905570,40.182846,29.067084
Sapporo,1904319,43.06208,141.354361
Taizhou,1902500,32.4849554,119.9117284
Greater Perth,1899999,-31.953513,115.857047
Minsk,1893063,53.90454,27.561524
