0,1
Toulon,15205.29
Mexicali,15053.5
Nagasaki,14733.08
Bari,14349.14
Bradford,14162.31
Benito Ju??rez,13491.4
Lublin,13432.76
Catania,13419.08
Ostrava,13002.03
Kochi,12904.46
Chihuahua,12356.24
Reynosa,12307.37
Tampico,12305.13
Culiac??n,11761.9
Concepci??n,11410.54
Cuernavaca,10553.63
Veracruz,10163.44
Xalapa,9489.95
Morelia,8327.67
Durango,7937.65
Celaya,7757.5
Irapuato,6808.46
Pachuca de Soto,6453.25
Acapulco de Ju??rez,6125.81
Oaxaca de Ju??rez,5803.99
Tuxtla Guti??rrez,5080.62
